Date,HR,PGE,SCE,SDGE,VEA,CAISO
1/4/2024,3,10030.68,9314.24,2051.82,80.77,21477.50
1/4/2024,4,9840.60,9254.25,1995.52,82.96,21173.32
1/4/2024,5,9690.43,9433.56,1979.36,86.99,21190.34
1/4/2024,6,10218.64,10041.05,2102.54,93.12,22455.34
1/4/2024,7,11113.81,10887.90,2322.88,100.23,24424.82
1/4/2024,8,11854.50,11255.80,2404.00,99.69,25613.99
1/4/2024,9,11940.89,11400.47,2338.78,131.30,25811.44
1/4/2024,10,11242.47,11510.92,2011.16,127.61,24892.18
1/4/2024,11,10606.38,11529.38,1746.81,108.34,23990.90
1/4/2024,12,10178.16,11629.19,1648.39,123.65,23579.39
1/4/2024,13,10145.40,11908.61,1637.80,129.66,23821.47
1/4/2024,14,9960.78,11680.18,1967.64,122.27,23730.88
1/4/2024,15,9909.02,11586.34,2090.94,86.47,23672.77
1/4/2024,16,10391.29,10734.62,2146.30,73.53,23345.73
1/4/2024,17,11326.63,11136.44,2414.18,73.34,24950.59
1/4/2024,18,12300.63,12038.15,2674.55,83.30,27096.63
1/4/2024,19,12391.31,12101.95,2700.31,84.99,27278.56
1/4/2024,20,12177.30,12224.25,2647.49,86.32,27135.35
1/4/2024,21,11991.18,11872.01,2575.53,85.68,26524.40
1/4/2024,22,11480.83,11588.16,2535.40,83.46,25687.84
1/4/2024,23,10958.26,11410.05,2407.45,79.90,24855.65
1/4/2024,24,10374.29,10978.34,2359.05,77.76,23789.44
1/5/2024,1,10145.07,10131.17,2410.67,77.56,22764.47
1/5/2024,2,9824.28,9762.16,2249.63,78.70,21914.78
1/5/2024,3,9655.85,9534.17,2058.75,80.88,21329.65
1/5/2024,4,9678.82,9469.22,2026.31,83.37,21257.72
1/5/2024,5,9687.75,9668.52,2087.97,88.78,21533.03
1/5/2024,6,10085.39,10238.39,2174.66,94.62,22593.06
1/5/2024,7,10878.76,10999.79,2364.72,99.89,24343.17
1/5/2024,8,11503.34,11415.82,2537.22,102.15,25558.52
1/5/2024,9,11472.43,11707.26,2394.18,99.41,25673.27
1/5/2024,10,10656.05,11602.86,2068.66,88.29,24415.86
1/5/2024,11,9877.97,12005.05,1919.23,79.28,23881.50
1/5/2024,12,9010.57,11530.47,1781.25,67.91,22390.20
1/5/2024,13,9309.57,11038.26,1869.95,88.65,22306.43
1/5/2024,14,9585.49,11249.13,2015.56,122.21,22972.39
1/5/2024,15,10100.86,11508.64,2143.90,122.46,23875.85
1/5/2024,16,10450.08,10966.74,2276.73,74.82,23768.36
1/5/2024,17,11195.72,10964.79,2431.78,71.14,24663.42
1/5/2024,18,12088.55,11823.57,2626.13,80.21,26618.46
1/5/2024,19,12132.04,11895.51,2634.74,81.87,26744.15
1/5/2024,20,11873.94,11817.04,2579.38,84.48,26354.84
1/5/2024,21,11637.33,11758.52,2519.55,86.39,26001.78
1/5/2024,22,11344.43,11740.45,2439.17,84.08,25608.14
1/5/2024,23,10835.21,11230.26,2287.10,81.25,24433.83
1/5/2024,24,10394.64,10580.40,2143.24,79.08,23197.36
1/6/2024,1,10272.22,10112.63,2158.24,78.92,22622.00
1/6/2024,2,9906.80,9719.93,2074.90,80.93,21782.56
1/6/2024,3,9727.71,9439.09,2004.74,82.92,21254.46
1/6/2024,4,9643.71,9315.01,1968.20,86.72,21013.64
1/6/2024,5,9706.74,9362.76,1970.45,91.93,21131.88
1/6/2024,6,9966.98,9629.53,2006.10,98.82,21701.44
1/6/2024,7,10434.04,10060.73,2108.29,105.62,22708.67
1/6/2024,8,10893.21,9993.11,2180.16,108.85,23175.33
1/6/2024,9,11054.38,9667.10,2118.26,124.94,22964.68
1/6/2024,10,11075.88,9729.13,1846.94,132.74,22784.68
1/6/2024,11,11315.94,10021.32,1650.62,108.85,23096.74
1/6/2024,12,11271.35,10297.97,1411.35,108.27,23088.95
1/6/2024,13,11515.52,10104.75,1390.30,92.94,23103.50
1/6/2024,14,11682.90,10149.67,1595.07,84.26,23511.89
1/6/2024,15,11421.60,9598.12,1690.22,79.55,22789.48
1/6/2024,16,11536.24,9533.27,1811.33,84.35,22965.18
1/6/2024,17,11688.87,10059.03,2168.86,91.22,24007.99
1/6/2024,18,12436.74,10927.09,2493.96,94.62,25952.41
1/6/2024,19,12337.82,11054.57,2523.52,93.14,26009.04
1/6/2024,20,12114.59,11077.30,2496.28,90.53,25778.71
1/6/2024,21,11799.68,10872.15,2424.79,87.75,25184.36
1/6/2024,22,11516.35,10673.04,2346.70,83.77,24619.86
1/6/2024,23,10976.00,10423.37,2205.37,79.88,23684.62
1/6/2024,24,10554.06,10059.66,2116.73,76.15,22806.60
1/7/2024,1,10316.33,9684.90,2098.12,75.32,22174.67
1/7/2024,2,10197.66,9191.89,2013.79,78.43,21481.77
1/7/2024,3,10181.51,8853.91,1987.18,80.16,21102.75
1/7/2024,4,9956.13,8653.21,1938.23,83.01,20630.59
1/7/2024,5,10020.10,8523.67,1929.10,87.93,20560.81
1/7/2024,6,10149.92,8668.26,1874.39,95.78,20788.35
1/7/2024,7,10549.18,9041.33,1918.65,103.86,21613.02
1/7/2024,8,11156.36,9023.76,1928.78,105.83,22214.72
1/7/2024,9,10885.27,8826.36,1739.38,119.27,21570.28
1/7/2024,10,10057.17,9010.27,1495.99,112.36,20675.78
1/7/2024,11,9826.35,9238.49,1395.56,135.26,20595.65
1/7/2024,12,9582.65,9472.23,1516.94,135.01,20706.83
1/7/2024,13,9377.40,9758.50,1542.63,140.96,20819.49
1/7/2024,14,9423.74,10159.61,1630.09,139.37,21352.81
1/7/2024,15,9462.24,10160.56,1634.01,122.37,21379.19
1/7/2024,16,9802.60,9486.01,1809.12,82.44,21180.17
1/7/2024,17,10899.57,10057.23,2165.02,93.16,23214.98
1/7/2024,18,12163.64,11215.83,2574.25,104.88,26058.60
1/7/2024,19,12391.19,11473.72,2602.28,106.63,26573.80
1/7/2024,20,12260.95,11679.54,2566.35,106.95,26613.80
1/7/2024,21,12066.23,11649.01,2506.39,105.23,26326.86
1/7/2024,22,11721.41,11402.89,2408.27,102.67,25635.23
1/7/2024,23,11102.35,10915.19,2242.63,98.29,24358.46
1/7/2024,24,10528.44,10523.88,2103.61,95.44,23251.38
1/8/2024,1,10582.17,10079.14,2144.52,94.43,22900.27
1/8/2024,2,10137.71,9901.42,2118.66,95.08,22252.88
1/8/2024,3,10662.90,9647.88,2014.88,97.68,22423.34
1/8/2024,4,10723.10,9620.68,2028.68,100.94,22473.40
1/8/2024,5,10522.24,9897.98,2089.10,106.49,22615.81
1/8/2024,6,11201.78,10586.43,2223.68,113.63,24125.52
1/8/2024,7,12337.18,11799.59,2503.17,121.30,26761.23
1/8/2024,8,13010.31,12284.52,2652.14,122.03,28068.99
1/8/2024,9,12502.48,12330.04,2701.30,167.25,27701.07
1/8/2024,10,11619.12,12000.55,2514.14,165.46,26299.27
1/8/2024,11,10594.58,12072.25,2280.29,156.42,25103.54
1/8/2024,12,10690.96,11895.78,2040.96,149.91,24777.61
1/8/2024,13,10276.15,11661.18,1871.49,109.66,23918.47
1/8/2024,14,10402.28,11738.08,1806.89,108.88,24056.14
1/8/2024,15,11009.49,11753.00,1987.84,80.57,24830.91
1/8/2024,16,10800.80,11315.76,2193.93,82.04,24392.53
1/8/2024,17,11693.72,11581.35,2475.17,93.55,25843.78
1/8/2024,18,12883.49,12561.64,2815.46,102.56,28363.16
1/8/2024,19,13113.51,12724.37,2846.88,103.34,28788.09
1/8/2024,20,12754.83,12737.22,2791.24,104.48,28387.76
1/8/2024,21,12461.37,12580.05,2706.84,103.84,27852.10
1/8/2024,22,11967.30,12265.29,2584.09,102.76,26919.45
1/8/2024,23,11261.45,11710.51,2379.10,100.05,25451.10
1/8/2024,24,10579.80,10942.90,2222.03,98.91,23843.63
1/9/2024,1,10494.48,10520.93,2541.70,99.11,23656.22
1/9/2024,2,10657.48,10195.95,2505.99,100.68,23460.10
1/9/2024,3,10407.42,9891.64,2483.95,103.35,22886.35
1/9/2024,4,10390.20,9941.61,2376.91,107.57,22816.29
1/9/2024,5,10246.64,10115.99,2249.69,113.37,22725.70
1/9/2024,6,10778.36,10682.22,2313.83,122.79,23897.20
1/9/2024,7,11932.02,11890.27,2573.09,131.44,26526.82
1/9/2024,8,12601.68,12174.46,2678.69,132.09,27586.91
1/9/2024,9,12645.05,12633.47,2529.50,153.80,27961.83
1/9/2024,10,12140.32,12737.35,2507.44,163.19,27548.29
1/9/2024,11,11928.30,12405.27,2066.93,148.34,26548.82
1/9/2024,12,11803.34,11983.24,1791.14,139.30,25717.02
1/9/2024,13,11558.93,11257.22,1665.01,115.11,24596.27
1/9/2024,14,11246.64,10741.23,1631.46,93.48,23712.81
1/9/2024,15,11211.15,10672.89,1884.60,78.92,23847.56
1/9/2024,16,10982.57,10589.02,2059.22,80.27,23713.23
1/9/2024,17,11797.06,11196.34,2413.04,88.59,25495.04
1/9/2024,18,12750.44,12036.81,2735.45,98.39,27621.09
1/9/2024,19,12904.82,12247.56,2778.61,103.36,28034.36
1/9/2024,20,12635.21,12271.71,2743.94,106.09,27756.95
1/9/2024,21,12351.06,12090.36,2668.41,106.47,27216.31
1/9/2024,22,11970.10,11870.54,2553.24,105.10,26498.97
1/9/2024,23,11217.58,11284.11,2358.71,103.17,24963.56
1/9/2024,24,10520.89,10677.35,2191.70,103.41,23493.34
1/10/2024,1,10257.21,10267.61,2270.99,103.93,22899.74
1/10/2024,2,10848.67,9846.46,2187.67,105.88,22988.67
1/10/2024,3,10447.84,9599.90,2146.54,108.74,22303.02
1/10/2024,4,10160.44,9647.98,2071.38,112.59,21992.39
1/10/2024,5,10204.93,9758.14,2127.76,118.93,22209.76
1/10/2024,6,10463.80,10411.72,2252.96,127.84,23256.33
1/10/2024,7,11561.54,11433.53,2514.77,136.53,25646.37
1/10/2024,8,12508.35,11948.32,2635.17,136.07,27227.91
1/10/2024,9,12687.04,12082.33,2643.01,130.71,27543.09
1/10/2024,10,12301.09,11847.67,2513.67,127.40,26789.83
1/10/2024,11,12166.88,11669.36,2312.35,152.69,26301.28
1/10/2024,12,11958.73,11511.31,2360.29,141.87,25972.20
1/10/2024,13,11838.07,11516.15,2272.34,117.30,25743.85
1/10/2024,14,11955.41,11261.03,2144.95,122.83,25484.23
1/10/2024,15,11942.75,11310.02,2082.48,114.71,25449.96
1/10/2024,16,12011.21,10931.72,2289.96,83.55,25316.44
1/10/2024,17,12361.28,11503.71,2464.66,82.03,26411.68
1/10/2024,18,13113.09,12442.82,2781.85,93.19,28430.96
1/10/2024,19,13134.67,12551.95,2799.15,95.79,28581.57
1/10/2024,20,12760.79,12356.23,2740.27,96.59,27953.87
1/10/2024,21,12455.02,12145.06,2647.63,96.12,27343.83
1/10/2024,22,12006.34,12091.86,2530.48,93.05,26721.72
1/10/2024,23,11259.85,11459.67,2330.04,88.49,25138.04
1/10/2024,24,10628.62,10851.15,2133.90,85.84,23699.51
1/11/2024,1,10389.10,10272.80,2170.04,85.15,22917.10
1/11/2024,2,10870.43,9844.54,2122.72,84.97,22922.66
1/11/2024,3,11005.17,9638.89,2068.29,86.32,22798.64
1/11/2024,4,10503.29,9453.75,2022.91,94.15,22074.10
1/11/2024,5,10591.00,9580.32,2017.30,100.41,22289.03
1/11/2024,6,10672.38,10109.77,2108.24,108.02,22998.41
1/11/2024,7,11828.64,11068.49,2340.88,117.76,25355.77
1/11/2024,8,12748.57,11555.87,2455.97,117.89,26878.30
1/11/2024,9,12652.46,11462.99,2304.98,140.28,26560.71
1/11/2024,10,11563.92,11167.69,2175.66,161.82,25069.08
1/11/2024,11,10462.41,11019.69,1985.47,154.89,23622.48
1/11/2024,12,9882.43,11035.91,1742.55,142.59,22803.48
1/11/2024,13,9851.64,10924.02,1773.60,129.00,22678.26
1/11/2024,14,10510.40,10852.51,1843.14,108.62,23314.66
1/11/2024,15,10775.43,10631.76,1860.12,80.48,23347.79
1/11/2024,16,10753.76,10635.92,2043.02,83.18,23515.89
1/11/2024,17,11647.13,11173.29,2386.76,87.11,25294.29
1/11/2024,18,12835.66,12101.34,2693.63,100.15,27730.78
1/11/2024,19,13028.21,12193.48,2736.70,103.66,28062.04
1/11/2024,20,12834.87,12190.93,2684.95,106.36,27817.11
1/11/2024,21,12590.05,12019.02,2621.97,107.42,27338.45
1/11/2024,22,12231.83,11984.11,2522.63,106.29,26844.87
1/11/2024,23,11524.33,11420.74,2368.34,105.38,25418.78
1/11/2024,24,10841.26,10818.22,2181.50,103.97,23944.96
1/12/2024,1,11141.70,10372.73,2233.31,104.84,23852.58
1/12/2024,2,11180.61,9965.91,2150.88,106.74,23404.14
1/12/2024,3,10647.94,9860.40,2067.03,109.72,22685.10
1/12/2024,4,10526.32,9922.10,2087.66,114.17,22650.25
1/12/2024,5,10636.01,10141.00,2105.53,120.74,23003.29
1/12/2024,6,10977.19,10846.06,2242.32,128.44,24194.02
1/12/2024,7,12028.32,11762.24,2507.53,136.26,26434.35
1/12/2024,8,12818.12,12181.02,2655.39,135.27,27789.80
1/12/2024,9,12503.58,12278.76,2573.43,151.64,27507.42
1/12/2024,10,11996.31,11844.18,2264.96,167.63,26273.08
1/12/2024,11,11622.63,11755.63,2004.31,141.75,25524.32
1/12/2024,12,11058.12,11746.68,1827.37,124.19,24756.36
1/12/2024,13,11507.88,11716.11,1887.89,118.61,25230.50
1/12/2024,14,11408.53,11568.85,1862.74,107.82,24947.94
1/12/2024,15,11597.37,11143.41,1994.61,97.60,24832.99
1/12/2024,16,12095.17,10695.08,2069.03,86.71,24945.99
1/12/2024,17,12326.52,11021.46,2354.74,88.58,25791.30
1/12/2024,18,12983.04,11839.16,2635.29,98.23,27555.72
1/12/2024,19,12905.75,11914.54,2657.97,101.41,27579.67
1/12/2024,20,12579.65,11922.32,2609.72,104.69,27216.39
1/12/2024,21,12365.97,11799.16,2563.79,106.71,26835.63
1/12/2024,22,11938.82,11755.81,2487.09,104.95,26286.67
1/12/2024,23,11415.60,11327.37,2356.64,102.38,25202.00
1/12/2024,24,10856.46,10711.09,2193.85,101.63,23863.03
1/13/2024,1,10307.27,10109.10,2255.11,101.38,22772.86
1/13/2024,2,9941.65,9814.04,2145.71,102.87,22004.26
1/13/2024,3,9922.99,9561.35,2056.57,105.69,21646.60
1/13/2024,4,9743.05,9471.00,2008.79,108.60,21331.43
1/13/2024,5,9871.23,9623.91,2020.58,112.44,21628.16
1/13/2024,6,9779.54,9907.13,2063.53,118.30,21868.50
1/13/2024,7,10232.51,10279.42,2171.25,125.44,22808.61
1/13/2024,8,10677.14,10442.89,2254.84,124.97,23499.84
1/13/2024,9,11409.50,10961.94,2213.43,139.52,24724.39
1/13/2024,10,11305.75,10909.73,1973.22,127.58,24316.28
1/13/2024,11,11324.67,11107.96,1944.82,93.81,24471.25
1/13/2024,12,11389.34,10877.48,1743.54,78.20,24088.55
1/13/2024,13,11025.92,10498.91,1731.60,98.73,23355.16
1/13/2024,14,11077.60,10051.78,1514.09,105.60,22749.07
1/13/2024,15,11398.26,9675.94,1657.85,115.85,22847.90
1/13/2024,16,11671.36,9264.34,1814.29,78.18,22828.16
1/13/2024,17,11738.70,9756.00,2131.74,73.19,23699.63
1/13/2024,18,12359.18,10941.43,2432.51,81.67,25814.78
1/13/2024,19,12541.52,11186.05,2484.19,83.02,26294.79
1/13/2024,20,12061.26,11390.31,2465.08,85.49,26002.15
1/13/2024,21,11794.27,11127.66,2420.33,85.61,25427.87
1/13/2024,22,11617.38,10906.39,2358.88,83.82,24966.47
1/13/2024,23,11020.23,10494.17,2233.46,82.43,23830.29
1/13/2024,24,10361.50,10149.25,2108.55,82.00,22701.31
1/14/2024,1,10218.01,9738.48,2123.76,81.25,22161.49
1/14/2024,2,9724.21,9479.70,2040.34,82.00,21326.25
1/14/2024,3,9767.25,9157.64,1981.96,84.01,20990.87
1/14/2024,4,9240.12,9058.43,1926.50,87.39,20312.44
1/14/2024,5,9126.68,8962.73,1916.25,92.06,20097.72
1/14/2024,6,9245.19,9126.25,1959.07,99.09,20429.62
1/14/2024,7,9600.03,9370.21,2025.27,106.20,21101.71
1/14/2024,8,10035.57,9564.73,2120.33,108.37,21829.00
1/14/2024,9,10019.61,10331.79,2214.18,112.79,22678.38
1/14/2024,10,9797.22,10635.50,2183.70,141.18,22757.61
1/14/2024,11,9668.60,10791.80,2182.41,135.00,22777.82
1/14/2024,12,9306.79,10313.86,2054.58,125.85,21801.08
1/14/2024,13,9010.10,9806.02,1941.55,120.23,20877.91
1/14/2024,14,9053.62,9387.86,1732.45,98.13,20272.06
1/14/2024,15,9199.38,9346.37,1689.48,67.21,20302.43
1/14/2024,16,9419.90,8871.78,1774.76,57.24,20123.67
1/14/2024,17,10312.54,9636.65,2118.19,63.16,22130.54
1/14/2024,18,11357.43,10503.51,2463.08,73.61,24397.63
1/14/2024,19,11518.35,10580.15,2505.41,76.34,24680.25
1/14/2024,20,11344.57,10679.65,2476.75,77.90,24578.88
1/14/2024,21,11114.41,10518.66,2424.80,79.43,24137.30
1/14/2024,22,10853.97,10389.06,2352.08,79.87,23674.98
1/14/2024,23,10267.69,10022.80,2195.68,80.09,22566.26
1/14/2024,24,9735.30,9701.37,2077.84,79.79,21594.31
1/15/2024,1,9528.94,9200.22,2172.53,81.76,20983.45
1/15/2024,2,9399.15,8817.77,2015.03,84.01,20315.97
1/15/2024,3,9449.48,8780.12,1997.70,86.38,20313.70
1/15/2024,4,9499.85,8810.97,1941.52,90.11,20342.46
1/15/2024,5,9185.39,8986.67,1995.91,95.84,20263.81
1/15/2024,6,9539.09,9762.84,2071.24,102.29,21475.46
1/15/2024,7,10289.35,10567.57,2257.44,110.86,23225.21
1/15/2024,8,11004.76,10893.50,2340.05,111.04,24349.35
1/15/2024,9,11189.38,11968.51,2185.57,105.59,25449.06
1/15/2024,10,11031.65,12109.34,1917.73,99.81,25158.53
1/15/2024,11,10678.60,10990.45,1741.71,91.61,23502.35
1/15/2024,12,10561.61,10745.64,1599.18,103.86,23010.29
1/15/2024,13,10770.45,10451.22,1729.11,87.54,23038.32
1/15/2024,14,10848.82,10435.59,2025.64,79.61,23389.67
1/15/2024,15,11150.97,10865.80,2067.74,79.42,24163.94
1/15/2024,16,11074.86,11331.54,2089.08,75.23,24570.72
1/15/2024,17,11229.62,11043.88,2330.12,78.39,24682.01
1/15/2024,18,12262.40,11807.84,2659.88,89.73,26819.85
1/15/2024,19,12357.37,11862.28,2682.95,93.56,26996.15
1/15/2024,20,12123.68,11737.00,2611.25,96.12,26568.04
1/15/2024,21,11835.93,11629.16,2525.84,96.88,26087.82
1/15/2024,22,11388.24,11339.65,2405.69,94.88,25228.47
1/15/2024,23,10688.96,10704.84,2224.12,93.04,23710.96
1/15/2024,24,10093.48,10139.28,2087.35,92.12,22412.23
1/16/2024,1,9830.06,9687.98,2084.88,93.40,21696.31
1/16/2024,2,10164.78,9283.06,2009.99,95.78,21553.62
1/16/2024,3,9664.71,9129.92,1940.05,98.92,20833.60
1/16/2024,4,9469.55,9207.36,1917.90,102.89,20697.70
1/16/2024,5,9633.24,9589.70,1965.91,109.71,21298.57
1/16/2024,6,10256.56,10153.51,2126.18,118.75,22655.00
1/16/2024,7,11167.23,11253.84,2369.25,128.17,24918.49
1/16/2024,8,12288.30,11737.12,2483.82,127.41,26636.66
1/16/2024,9,12476.79,12078.25,2345.29,139.03,27039.36
1/16/2024,10,12260.77,12063.87,2066.58,152.68,26543.89
1/16/2024,11,11927.66,11705.39,1752.49,143.65,25529.19
1/16/2024,12,11561.19,11731.32,1757.86,112.38,25162.76
1/16/2024,13,11457.16,11636.30,2018.60,126.40,25238.45
1/16/2024,14,11726.50,11446.45,1943.50,94.17,25210.62
1/16/2024,15,12180.30,11251.76,2016.15,76.35,25524.56
1/16/2024,16,11921.85,11000.26,2196.52,66.63,25185.26
1/16/2024,17,12073.44,11057.34,2373.33,69.04,25573.15
1/16/2024,18,12800.89,11882.97,2641.20,79.79,27404.85
1/16/2024,19,12778.73,11888.30,2652.57,83.57,27403.17
1/16/2024,20,12460.24,11780.02,2599.38,85.29,26924.93
1/16/2024,21,12027.27,11752.32,2512.49,85.88,26377.96
1/16/2024,22,11591.95,11490.03,2391.97,85.07,25559.02
1/16/2024,23,10768.04,10809.22,2202.84,83.96,23864.07
1/16/2024,24,10559.40,10173.43,2052.63,82.58,22868.04
1/17/2024,1,10619.13,9692.28,2041.82,82.10,22435.33
1/17/2024,2,10464.61,9300.89,2002.07,82.39,21849.96
1/17/2024,3,10068.56,9269.27,2068.52,82.93,21489.27
1/17/2024,4,9627.66,9305.20,2137.69,84.14,21154.68
1/17/2024,5,9652.85,9162.42,2143.75,87.81,21046.82
1/17/2024,6,10010.49,9675.90,2043.28,94.04,21823.71
1/17/2024,7,10974.78,10767.92,2278.91,101.54,24123.15
1/17/2024,8,11990.02,11355.96,2424.65,102.31,25872.93
1/17/2024,9,12074.12,11742.73,2391.26,95.91,26304.02
1/17/2024,10,11752.26,12114.91,2234.84,85.99,26188.00
1/17/2024,11,11120.18,12307.99,1948.96,95.29,25472.43
1/17/2024,12,10191.29,12856.20,1946.30,113.25,25107.04
1/17/2024,13,9913.53,12551.99,1999.12,108.16,24572.80
1/17/2024,14,9980.61,12637.10,2094.98,97.75,24810.44
1/17/2024,15,10049.56,12070.25,2095.01,77.80,24292.62
1/17/2024,16,10488.54,11309.14,2319.36,80.21,24197.26
1/17/2024,17,10980.96,11065.11,2432.99,85.84,24564.90
1/17/2024,18,12147.99,11871.64,2641.61,98.26,26759.50
1/17/2024,19,12254.50,12008.86,2684.64,101.12,27049.10
1/17/2024,20,12089.99,11898.89,2672.87,97.14,26758.89
1/17/2024,21,11817.53,11455.94,2547.77,83.95,25905.19
1/17/2024,22,11387.86,11201.02,2426.34,83.81,25099.03
1/17/2024,23,10887.28,10720.46,2229.76,82.03,23919.53
1/17/2024,24,10438.72,10166.12,2116.58,80.74,22802.17
1/18/2024,1,10231.36,9690.63,2085.59,81.75,22089.32
1/18/2024,2,10339.67,9362.48,2063.58,83.24,21848.98
1/18/2024,3,9886.67,9421.36,1992.88,86.09,21387.00
1/18/2024,4,10020.46,9139.50,1897.50,89.82,21147.29
1/18/2024,5,9863.95,9274.44,1946.93,95.77,21181.09
1/18/2024,6,10504.39,9935.94,2078.35,105.23,22623.91
1/18/2024,7,11303.70,10931.21,2334.94,114.49,24684.34
1/18/2024,8,12298.60,11517.26,2455.28,113.86,26385.00
1/18/2024,9,12380.85,11892.94,2200.00,151.30,26625.09
1/18/2024,10,11875.70,12067.52,1909.94,144.88,25998.05
1/18/2024,11,11265.63,11883.06,1846.04,132.09,25126.83
1/18/2024,12,11111.78,11821.61,1768.93,118.89,24821.21
1/18/2024,13,11097.78,11408.65,1738.01,100.14,24344.58
1/18/2024,14,11248.01,11326.85,1732.26,70.83,24377.96
